"EmployeeKey","ParentEmployeeKey","EmployeeNationalIDAlternateKey","ParentEmployeeNationalIDAlternateKey","SalesTerritoryKey","FirstName","LastName","MiddleName","NameStyle","Title","HireDate","BirthDate","LoginID","EmailAddress","Phone","MaritalStatus","EmergencyContactName","EmergencyContactPhone","SalariedFlag","Gender","PayFrequency","BaseRate","VacationHours","SickLeaveHours","CurrentFlag","SalesPersonFlag","DepartmentName","StartDate","EndDate","Status","EmployeePhoto"
"1","18","14417807","","11","Guy","Gilbert","R","False","Production Technician - WC60","1/28/2006 12:00:00 AM","11/12/1981 12:00:00 AM","adventure-works\guy1","guy1@adventure-works.com","320-555-0195","M","Guy Gilbert","320-555-0195","False","M","1","12.4500","21","30","True","False","Production","1/28/2006 12:00:00 AM","","Current","System.Byte[]"
"2","7","253022876","","11","Kevin","Brown","F","False","Marketing Assistant","8/26/2006 12:00:00 AM","12/1/1986 12:00:00 AM","adventure-works\kevin0","kevin0@adventure-works.com","150-555-0189","S","Kevin Brown","150-555-0189","False","M","2","13.4615","42","41","True","False","Marketing","8/26/2006 12:00:00 AM","","Current","System.Byte[]"
"3","14","509647174","","11","Roberto","Tamburello","","False","Engineering Manager","6/11/2007 12:00:00 AM","6/12/1974 12:00:00 AM","adventure-works\roberto0","roberto0@adventure-works.com","212-555-0187","M","Roberto Tamburello","212-555-0187","True","M","2","43.2692","2","21","True","False","Engineering","6/11/2007 12:00:00 AM","","Current","System.Byte[]"
"4","3","112457891","","11","Rob","Walters","","False","Senior Tool Designer","7/5/2007 12:00:00 AM","7/23/1974 12:00:00 AM","adventure-works\rob0","rob0@adventure-works.com","612-555-0100","S","Rob Walters","612-555-0100","False","M","2","29.8462","48","80","True","False","Tool Design","7/5/2007 12:00:00 AM","12/28/2009 12:00:00 AM","","System.Byte[]"
"5","3","112457891","","11","Rob","Walters","","False","Senior Tool Designer","7/5/2007 12:00:00 AM","7/23/1974 12:00:00 AM","adventure-works\rob0","rob0@adventure-works.com","612-555-0100","S","Rob Walters","612-555-0100","False","M","2","29.8462","48","80","True","False","Tool Design","12/28/2009 12:00:00 AM","","Current","System.Byte[]"
"6","267","480168528","","11","Thierry","D'Hers","B","False","Tool Designer","7/11/2007 12:00:00 AM","2/26/1959 12:00:00 AM","adventure-works\thierry0","thierry0@adventure-works.com","168-555-0183","M","Thierry D'Hers","168-555-0183","False","M","2","25.0000","9","24","True","False","Tool Design","7/11/2007 12:00:00 AM","","Current","System.Byte[]"
"7","112","24756624","","11","David","Bradley","M","False","Marketing Manager","7/20/2007 12:00:00 AM","10/17/1974 12:00:00 AM","adventure-works\david0","david0@adventure-works.com","913-555-0172","S","David Bradley","913-555-0172","True","M","2","37.5000","40","40","True","False","Marketing","7/20/2007 12:00:00 AM","2/11/2009 12:00:00 AM","","System.Byte[]"
"8","112","24756624","","11","David","Bradley","M","False","Marketing Manager","7/20/2007 12:00:00 AM","10/17/1974 12:00:00 AM","adventure-works\david0","david0@adventure-works.com","913-555-0172","S","David Bradley","913-555-0172","True","M","2","37.5000","40","40","True","False","Marketing","2/12/2009 12:00:00 AM","","Current","System.Byte[]"
"9","23","309738752","","11","JoLynn","Dobney","M","False","Production Supervisor - WC60","7/26/2007 12:00:00 AM","8/16/1955 12:00:00 AM","adventure-works\jolynn0","jolynn0@adventure-works.com","903-555-0145","S","JoLynn Dobney","903-555-0145","False","F","2","25.0000","82","61","True","False","Production","7/26/2007 12:00:00 AM","","Current","System.Byte[]"
"10","189","690627818","","11","Ruth","Ellerbrock","Ann","False","Production Technician - WC10","8/6/2007 12:00:00 AM","1/3/1956 12:00:00 AM","adventure-works\ruth0","ruth0@adventure-works.com","145-555-0130","M","Ruth Ellerbrock","145-555-0130","False","F","1","13.4500","83","61","True","False","Production","8/6/2007 12:00:00 AM","","Current","System.Byte[]"
