"CustomerID","CompanyName","ContactName","ContactTitle","Address","City","Region","PostalCode","Country","Phone","Fax","TimeStamp"
"ALDOO","Aldoo Enterprises","","","","","","","","","","3/14/2023 2:58:50 PM"
"ALFKI","Aldoo Enterprises","Maria Anders","Sales Representative","Obere Str. 57","Berlin","","12209","Germany","030-0074321","030-0076545",""
"ANATR","Aldoo Enterprises","Ana Trujillo","Owner","Avda. de la Constituci?n 2222","M?xico D.F.","","05021","Mexico","(5) 555-4729","(5) 555-3745",""
"ANTON","Aldoo Enterprises","Antonio Moreno","Owner","Mataderos  2312","M?xico D.F.","","05023","Mexico","(5) 555-3932","",""
"AROUT","Aldoo Enterprises","Thomas Hardy","Sales Representative","120 Hanover Sq.","London","","WA1 1DP","UK","(171) 555-7788","(171) 555-6750",""
"BERGS","Aldoo Enterprises","Christina Berglund","Order Administrator","Berguvsv?gen  8","Lule?","","S-958 22","Sweden","0921-12 34 65","0921-12 34 67",""
"BLAUS","Aldoo Enterprises","Hanna Moos","Sales Representative","Forsterstr. 57","Mannheim","","68306","Germany","0621-08460","0621-08924",""
"BLONP","Aldoo Enterprises","Fr?d?rique Citeaux","Marketing Manager","24, place Kl?ber","Strasbourg","","67000","France","88.60.15.31","88.60.15.32",""
"BOLID","Aldoo Enterprises","Mart?n Sommer","Owner","C/ Araquil, 67","Madrid","","28023","Spain","(91) 555 22 82","(91) 555 91 99",""
"BONAP","Aldoo Enterprises","Laurence Lebihan","Owner","12, rue des Bouchers","Marseille","","13008","France","91.24.45.40","91.24.45.41",""
"BOTTM","Aldoo Enterprises","Elizabeth Lincoln","Accounting Manager","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada","(604) 555-4729","(604) 555-3745",""
"BSBEV","Aldoo Enterprises","Victoria Ashworth","Sales Representative","Fauntleroy Circus","London","","EC2 5NT","UK","(171) 555-1212","",""
"CACTU","Aldoo Enterprises","Patricio Simpson","Sales Agent","Cerrito 333","Buenos Aires","","1010","Argentina","(1) 135-5555","(1) 135-4892",""
